#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 08 00 00 294  5.0  5.9  3.16 14.29  9.74 999 1025.0  14.1  12.6 999.0 99.0 99.00
2007 01 08 01 00 316  7.8  9.0  3.45 16.67  9.96 999 1024.6  14.2  12.5 999.0 99.0 99.00
2007 01 08 02 00 314  6.5 99.0 99.00 99.00 99.00 999 1025.2  13.7 999.0 999.0 99.0 99.00
2007 01 08 03 00 327  6.2  7.0 99.00 99.00 99.00 999 1025.0  13.6  12.2 999.0 99.0 99.00
2007 01 08 05 00  42  3.8 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 08 06 00  43  2.1 99.0 99.00 99.00 99.00 999 1025.1  13.3  12.6 999.0 99.0 99.00
2007 01 08 07 00   6  0.8  2.4 99.00 99.00 99.00 999 1025.0  13.5  12.6 999.0 99.0 99.00
2007 01 08 09 00 350  1.8  2.7 99.00 99.00 99.00 999 1024.4  14.2 999.0 999.0 99.0 99.00
2007 01 08 10 00 350  2.8  3.5 99.00 99.00 99.00 999 1023.7  14.6  12.3 999.0 99.0 99.00
2007 01 08 12 00 294  2.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 08 13 00 289  2.5  3.4 99.00 99.00 99.00 999 1022.5  14.3  12.1 999.0 99.0 99.00
2007 01 08 14 00 278  1.7  2.6  3.20 16.67 10.41 999 1022.5  13.7  11.9 999.0 99.0 99.00
2007 01 08 15 00 999 99.0 99.0  3.50 20.00 10.53 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 08 16 00 240  0.7  1.6  3.72 16.67 10.81 999 1022.9  12.8  11.8 999.0 99.0 99.00
2007 01 08 17 00 216  0.7  2.0  3.46 14.29 10.13 999 1023.3  13.4  11.8 999.0 99.0 99.00
2007 01 08 18 00 102  1.3  2.9  3.39 16.67 10.06 999 1023.5  12.9  12.0 999.0 99.0 99.00
2007 01 08 19 00 139  0.2  1.7  3.73 16.67 10.40 999 1023.2  13.6  12.0 999.0 99.0 99.00
2007 01 08 20 00  44  1.3  2.2  3.24 20.00 10.20 999 1022.0  13.9  12.1 999.0 99.0 99.00
2007 01 08 21 00  12  0.9  1.5  3.48 16.67 10.37 999 1020.9  14.4  12.1 999.0 99.0 99.00
2007 01 08 22 00 301  2.0  2.9  3.37 16.67 10.23 999 1020.1  14.1  12.5 999.0 99.0 99.00
2007 01 08 23 00 282  4.3  5.4  3.24 16.67 10.35 999 1019.5  15.7  12.9 999.0 99.0 99.00
2007 01 09 00 00 255  3.7  4.5  3.13 16.67 10.32 999 1019.4  18.1  12.8 999.0 99.0 99.00
2007 01 09 01 00 278  3.6  4.4  2.99 16.67 10.11 999 1019.2  14.2  12.9 999.0 99.0 99.00
2007 01 09 02 00 265  3.3  4.1 99.00 99.00 99.00 999 1019.2  14.5  12.5 999.0 99.0 99.00
2007 01 09 04 00 334  2.0 99.0 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2007 01 09 05 00 180  2.0  3.2 99.00 99.00 99.00 999 1019.3  13.4  12.1 999.0 99.0 99.00
2007 01 09 07 00 149  1.2  2.5 99.00 99.00 99.00 999 9999.0 999.0  12.1 999.0 99.0 99.00
2007 01 09 08 00 329  0.6 99.0 99.00 99.00 99.00 999 1018.7  13.5  12.1 999.0 99.0 99.00
2007 01 09 09 00 312  0.6  1.5  3.55 16.67 12.42 999 1018.0  13.3  12.1 999.0 99.0 99.00
2007 01 09 10 00 999  2.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 09 11 00 316  1.9 99.0 99.00 99.00 99.00 999 1018.7  14.1 999.0 999.0 99.0 99.00
2007 01 09 12 00 325  2.8  4.2 99.00 99.00 99.00 999 1017.7  15.1  11.8 999.0 99.0 99.00
2007 01 09 13 00 341  2.2  2.8  3.23 16.67 11.64 999 1017.3  14.4  11.8 999.0 99.0 99.00
2007 01 09 14 00 345  1.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 09 15 00 354  2.0  2.6 99.00 99.00 99.00 999 1017.9  15.3  12.1 999.0 99.0 99.00
2007 01 09 16 00  60  3.4  4.3  3.25 14.29 11.16 999 1017.8  16.3  12.1 999.0 99.0 99.00
2007 01 09 17 00  53  3.3  4.4 99.00 99.00 99.00 999 1018.7  15.1  12.1 999.0 99.0 99.00
2007 01 09 18 00  58  3.0  3.8  3.16 14.29 10.51 999 1018.8  14.9  12.2 999.0 99.0 99.00
2007 01 09 19 00  51  3.2  4.0  2.92 14.29 10.70 999 1018.9  16.6  12.2 999.0 99.0 99.00
2007 01 09 20 00  48  2.6  3.1  2.57 14.29 10.34 999 1017.9  17.2  12.4 999.0 99.0 99.00
2007 01 09 21 00  34  2.4  2.9  2.78 14.29 10.89 999 1016.7  18.1  12.5 999.0 99.0 99.00
2007 01 09 22 00  49  0.7  1.2  2.58 16.67 10.98 999 1015.9  18.3  12.5 999.0 99.0 99.00
2007 01 09 23 00 339  1.2  2.1  2.49 14.29 10.69 999 1015.6  18.2  13.3 999.0 99.0 99.00
2007 01 10 00 00 283  3.2  3.9  2.52 14.29 10.82 999 1015.7  18.7  13.7 999.0 99.0 99.00
2007 01 10 01 00 303  3.8  4.5  2.05 14.29 10.33 999 1015.6  15.3  14.1 999.0 99.0 99.00
2007 01 10 03 00 294  2.6 99.0 99.00 99.00 99.00 999 9999.0  15.2 999.0 999.0 99.0 99.00
2007 01 10 04 00 289  3.4  4.3 99.00 99.00 99.00 999 1016.0  15.5  13.3 999.0 99.0 99.00
2007 01 10 05 00 292  4.7  5.6  2.16 14.29  9.88 999 1016.0  15.2  12.8 999.0 99.0 99.00
2007 01 10 06 00 999 99.0  5.8  2.28 12.50  9.88 999 1015.9  15.3  12.8 999.0 99.0 99.00
