DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
248,MOK2013WTSH069A,2013-09-27 09:46,2013-09-27 09:46,0,6,
249,MOK2013WTSH068A,2013-09-27 10:19,2013-09-27 10:19,0,6,
250,MOK2013WTSH055A,2013-09-27 10:25,2013-09-27 10:25,0,6,
251,MOK2013WTSH062A,2013-09-27 10:42,2013-09-27 10:42,0,6,
252,MOK2013WTSH059A,2013-09-27 10:50,2013-09-27 10:50,0,6,
253,MOK2013WTSH058A,2013-09-27 11:19,2013-09-27 11:19,0,6,
255,LAW2014WTSH012A,2014-08-27 10:08,2014-08-27 10:08,0,6,
256,LAW2014WTSH014A,2014-08-27 10:46,2014-08-27 10:46,0,6,
257,LAW2014WTSH016A,2014-08-27 11:03,2014-08-27 11:03,0,6,
258,LAW2014WTSH001A,2014-08-27 06:07,2014-09-01 06:56,1,6,
259,LAW2014WTSH002A,2014-08-27 06:32,2014-09-01 09:32,1,6,
260,LAW2014WTSH003A,2014-08-27 07:02,2014-09-01 06:40,1,6,
261,LAW2014WTSH004A,2014-08-27 07:19,2014-09-03 08:11,1,6,
262,LAW2014WTSH005A,2014-08-27 07:38,2014-09-01 08:33,1,6,
263,LAW2014WTSH006A,2014-08-27 08:29,2014-08-27 08:29,0,6,
264,LAW2014WTSH007A,2014-08-27 08:29,2014-09-01 10:30,1,6,
265,LAW2014WTSH008A,2014-08-27 08:47,2014-09-03 05:43,1,6,
266,LAW2014WTSH009A,2014-08-27 09:00,2014-09-03 05:50,1,6,
267,LAW2014WTSH010A,2014-08-27 09:33,2014-09-01 09:22,1,6,
268,LAW2014WTSH011A,2014-08-27 09:50,2014-09-03 07:55,1,6,
269,LAW2014WTSH021A,2014-10-02 05:46,2014-10-06 13:00,6,1,LAW_WTSH_021_30018_A10348_100114
270,LAW2014WTSH022A,2014-10-02 06:07,2014-10-07 12:03,6,1,LAW_WTSH_022_30019_A10367_100114
271,LAW2014WTSH023A,2014-10-02 07:53,2014-10-02 07:53,6,0,
272,LAW2014WTSH024A,2014-10-02 07:03,2014-10-09 11:42,6,1,LAW_WTSH_024_30021_A10315_100114
273,LAW2014WTSH025A,2014-10-02 07:13,2014-10-05 10:05,6,1,LAW_WTSH_025_30022_A10359_100114
274,LAW2014WTSH026A,2014-10-02 07:33,2014-10-02 07:33,6,0,
275,LAW2014WTSH027A,2014-10-02 07:47,2014-10-05 08:46,6,1,LAW_WTSH_027_30024_A10356_100114
276,LAW2014WTSH028A,2014-10-02 07:54,2014-10-05 09:02,6,1,LAW_WTSH_028_30025_A10353_100114
277,LAW2014WTSH029A,2014-10-02 08:05,2014-10-02 08:05,6,0,
278,LAW2014WTSH030A,2014-10-02 08:31,2014-10-02 08:31,6,0,
279,LAW2014WTSH031A,2014-10-02 08:33,2014-10-02 08:33,6,0,
280,LAW2014WTSH032A,2014-10-02 08:41,2014-10-02 08:41,6,0,
281,LAW2014WTSH033A,2014-10-02 08:54,2014-10-02 08:54,6,0,
282,LAW2014WTSH034A,2014-10-02 09:38,2014-10-02 09:38,6,0,
283,LAW2014WTSH035A,2014-10-02 10:09,2014-10-05 08:23,6,3,
284,LAW2014WTSH018A,2014-08-27 11:45,2014-09-01 05:38,4,6,
285,LAW2014WTSH020A,2014-08-27 12:25,2014-09-01 08:09,1,6,
286,LAW2014WTSH015A,2014-08-27 10:53,2014-09-01 08:25,1,6,
287,LAW2014WTSH013A,2014-08-27 10:36,2014-09-02 07:48,1,6,
288,LAW2014WTSH019A,2014-08-27 12:10,2014-09-02 10:02,1,6,
289,LAW2014WTSH017A,2014-08-27 11:30,2014-09-06 06:55,1,6,
290,LEH2014RTTR094A,2014-06-14 21:12,2014-06-16 20:33,1,1,LEH2014RTTR094_A10373_061614
291,LEH2014RTTR106A,2014-07-16 20:47,2014-07-16 20:47,0,6,
292,LEH2014RTTR098A,2014-07-16 21:59,2014-07-16 21:59,0,0,
293,LEH2014RTTR070A,2014-07-16 00:56,2014-07-20 02:27,1,6,
294,LEH2014WTSH001A,2014-09-04 05:52,2014-09-04 05:52,0,6,
295,LEH2014WTSH002A,2014-09-04 06:09,2014-09-04 06:09,0,6,
296,LEH2014WTSH003A,2014-09-04 06:23,2014-09-04 06:23,0,6,
297,LEH2014WTSH004A,2014-09-04 06:29,2014-09-12 11:15,1,6,
298,LEH2014WTSH005A,2014-09-04 06:41,2014-09-11 10:25,1,6,
299,LEH2014WTSH006A,2014-09-04 06:53,2014-09-04 06:53,0,6,
300,LEH2014WTSH007A,2014-09-04 07:01,2014-09-04 07:01,0,6,
301,LEH2014WTSH008A,2014-09-04 07:15,2014-09-13 12:15,1,6,
302,LEH2014WTSH009A,2014-09-04 07:30,2014-09-09 06:46,1,6,
303,LEH2014WTSH010A,2014-09-04 07:42,2014-09-09 09:24,1,6,
304,LEH2014WTSH011A,2014-09-04 07:53,2014-09-04 07:53,0,6,
305,LEH2014WTSH012A,2014-09-04 08:10,2014-09-04 08:10,0,6,
306,LEH2014WTSH013A,2014-09-04 08:30,2014-09-04 08:30,0,6,
307,LEH2014WTSH014A,2014-09-04 08:40,2014-09-04 08:40,0,6,
308,LEH2014WTSH015A,2014-09-04 08:52,2014-09-11 12:15,1,6,
309,LEH2014WTSH016A,2014-09-04 09:03,2014-09-04 09:03,0,6,
310,LEH2014WTSH017A,2014-09-04 09:10,2014-09-04 09:10,0,6,
311,LEH2014WTSH018A,2014-09-04 09:30,2014-09-12 06:43,1,6,
312,LEH2014WTSH019A,2014-09-04 09:45,2014-09-11 06:40,1,6,
313,LEH2014WTSH020A,2014-09-04 10:06,2014-09-04 10:06,0,6,
314,LEH2014RTTR043A,2014-05-14 22:25,2014-05-17 01:35,1,6,
315,LEH2014RTTR040A,2014-06-13 23:36,2014-06-15 20:30,2,1,LEH2014RTTR040_A10363_061514
316,LEH2014RTTR003A,2014-06-14 03:50,2014-06-16 19:38,1,1,LEH2014RTTR003_A10356_061614
317,LEH2014RTTR048A,2014-06-14 04:41,2014-06-15 21:07,1,1,LEH2014RTTR048_A10357_061514
318,LEH2014RTTR036A,2014-06-14 04:57,2014-06-15 21:19,2,6,
319,LEH2014RTTR057A,2014-06-14 22:30,2014-06-17 19:36,1,1,LEH2014RTTR057_A10355_061714
320,LEH2014RTTR104A,2014-07-15 00:47,2014-07-19 00:58,1,1,LEH2014RTTR104A_A10379_071814
321,LEH2014RTTR017A,2014-07-15 22:15,2014-07-18 20:41,1,1,LEH2014RTTR017A_A10360_071814
322,LEH2014RTTR036B,2014-07-15 22:46,2014-07-18 20:10,1,1,LEH2014RTTR036B_A10372_071814
323,LEH2014RTTR103A,2014-07-17 00:19,2014-07-20 00:11,1,6,
324,LEH2014RTTR008A,2014-06-14 21:51,2014-06-16 21:10,2,1,LEH2014RTTR008_A10344_061614
325,LEH2014RTTR025A,2014-06-14 01:29,2014-06-18 20:24,1,1,LEH2014RTTR025_A10372_061814
326,LEH2014RTTR090A,2014-06-14 20:12,2014-06-17 21:19,1,1,LEH2014RTTR090_A10379_061714
327,LEH2014RTTR060A,2014-06-14 21:45,2014-06-16 20:10,2,1,LEH2014RTTR060_A10359_061614
328,LEH2014RTTR054A,2014-06-15 00:23,2014-06-15 00:23,0,0,
