#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 08 05 00 298  6.7  8.4  1.97 11.43  6.46 281 1018.7  12.3  13.0 999.0 99.0 99.00
2008 01 08 06 00 300  4.9  5.8  1.88 12.90  6.90 278 1019.3  12.5  13.0 999.0 99.0 99.00
2008 01 08 07 00 325  2.2  3.0  1.94 12.90  7.14 281 1019.8  12.5  13.0 999.0 99.0 99.00
2008 01 08 08 00 279  0.8  1.5  1.83 12.12  7.40 286 1020.4  12.4  12.9 999.0 99.0 99.00
2008 01 08 09 00 121  2.7  3.6  1.93 12.90  7.61 286 1020.2  12.5  12.8 999.0 99.0 99.00
2008 01 08 10 00 162  1.9  2.5  1.88 12.12  7.71 282 1020.8  12.3  12.7 999.0 99.0 99.00
2008 01 08 11 00 147  2.6  3.9  1.85 11.43  8.03 277 1021.5  12.4  12.6 999.0 99.0 99.00
2008 01 08 12 00 107  5.2  6.6  1.88 12.12  8.18 283 1021.2  12.6  12.5 999.0 99.0 99.00
2008 01 08 13 00  87  3.5  4.5  1.84 12.12  7.44 281 1021.2  12.7  12.6 999.0 99.0 99.00
2008 01 08 14 00  37  1.7  2.4  1.79 12.12  7.72 280 1022.0  12.4  12.6 999.0 99.0 99.00
2008 01 08 15 00   2  3.1  3.7  1.77 12.12  7.77 285 1022.7  12.4  12.7 999.0 99.0 99.00
2008 01 08 16 00 341  1.6  2.0  1.68 10.00  8.04 285 1022.6  12.1  12.8 999.0 99.0 99.00
2008 01 08 17 00 301  1.7  2.7  1.62 12.12  8.02 284 1023.2  12.5  12.8 999.0 99.0 99.00
2008 01 08 18 00 198  0.2  0.8  1.74 12.12  8.11 283 1023.4  13.3  12.8 999.0 99.0 99.00
2008 01 08 19 00 145  0.5  1.3  1.62 12.12  8.38 285 1023.4  13.1  13.0 999.0 99.0 99.00
2008 01 08 20 00 261  1.8  2.7  1.74 12.12  8.40 287 1023.2  12.6  13.1 999.0 99.0 99.00
2008 01 08 21 00 251  2.8  4.4  1.69 11.43  8.18 283 1022.2  12.5  13.1 999.0 99.0 99.00
2008 01 08 22 00 274  3.8  4.9  1.76 10.00  8.38 290 1022.0  12.4  13.0 999.0 99.0 99.00
2008 01 09 00 00 274  4.1  5.3  1.51 10.81  7.51 282 1021.8  12.3  12.7 999.0 99.0 99.00
2008 01 09 01 00 250  3.6  4.5  1.52 11.43  7.60 289 1021.4  12.2  12.8 999.0 99.0 99.00
2008 01 09 02 00 276  5.5  6.5  1.68 12.12  7.89 284 1021.8  12.4  12.8 999.0 99.0 99.00
