#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 09 00 348  1.9  2.7  2.18 10.81  7.44 999 1025.0  14.8  13.2 999.0 99.0 99.00
2007 01 07 10 00  56  1.0  2.6  2.03 10.81  6.80 999 1025.2  14.0  13.3 999.0 99.0 99.00
2007 01 07 11 00 117  0.5  1.6  2.00 10.00  7.22 999 1025.6  13.7  13.2 999.0 99.0 99.00
2007 01 07 12 00 261  2.3  3.2  2.04 10.00  7.16 999 1026.0  13.5  13.3 999.0 99.0 99.00
2007 01 07 13 00 287  1.6  2.5  1.98 10.00  7.03 999 1026.1  13.7  13.3 999.0 99.0 99.00
2007 01 07 14 00 207  2.2  2.7  2.04  8.33  6.87 999 1026.3  14.4  13.3 999.0 99.0 99.00
2007 01 07 15 00 213  2.0  2.4  1.70 10.00  5.98 999 1026.8  14.0  13.4 999.0 99.0 99.00
2007 01 07 16 00  28  0.6  1.5  1.65 12.12  6.57 999 1027.4  14.5  13.5 999.0 99.0 99.00
2007 01 07 17 00  69  1.7  2.5  1.54 12.12  6.53 999 1028.3  14.0  13.5 999.0 99.0 99.00
2007 01 07 18 00 186  1.1  1.8  1.80 11.43  7.12 999 1028.7  14.4  13.5 999.0 99.0 99.00
2007 01 07 19 00 316  0.7  1.2  1.63  9.09  6.98 999 1028.4  15.2  13.6 999.0 99.0 99.00
2007 01 07 20 00 339  2.1  2.7  1.88 11.43  7.72 999 1027.3  14.3  13.8 999.0 99.0 99.00
2007 01 07 21 00 300  2.0  2.9  1.95 12.12  7.66 999 1026.2  14.6  13.9 999.0 99.0 99.00
2007 01 07 22 00 294  2.8  3.4  2.01 12.12  7.84 999 1025.7  15.1  14.1 999.0 99.0 99.00
2007 01 07 23 00 272  2.3  3.2  1.85 12.90  7.89 999 1025.1  15.1  13.9 999.0 99.0 99.00
2007 01 08 00 00 300  1.4  2.1  2.00 12.90  8.20 999 1025.1  15.1  13.8 999.0 99.0 99.00
2007 01 08 01 00 286  1.3  2.1  1.98 12.90  8.10 999 1025.3  14.5  13.8 999.0 99.0 99.00
2007 01 08 02 00 273  0.5  1.3  2.11 12.90  8.10 999 1025.3  14.1  13.4 999.0 99.0 99.00
2007 01 08 03 00 195  1.4  2.0  1.96 12.90  7.59 999 1025.4  13.9  13.6 999.0 99.0 99.00
