FieldID,ID,Deploy_ID,Island,Site,SubCol,SubCol_Code,Species,Year,Phenology,NestNo,GPS_Y_N,GPS_ID,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,GPS_notes,Tagging_Event,Contents,NestPhen,NestPhen1,Chick_Stage,Capture_date_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Lat_DD,Long_DD,Date_Modified,Time_Modified,Wing,Processor,Chick % adult sz,Chick Primaries growing
,,58,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,24,,446,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,21:44,21:48,-10,9/12/2013 7:44,954-24654,L,,1,,,Outside burrow,Y,Y,N,HOO_WTSH_024_24654_446_091113,,,,,,,,,,,,,,,,,,
,,59,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,40,,365,9/10/2013 21:00,2,300,,R,SDC,,,,9/11/2013,22:23,22:27,-10,9/12/2013 8:23,954-24594,R,,1,,,Outside burrow,Y,Y,N,HOO_WTSH_040_24594_365_091113,,,,,,,,,,,,,,,,,,
,,60,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,20,,3,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,19:48,19:54,-10,9/12/2013 5:48,954-28079,R,,1,,,Burrow,Y,Y,N,HOO_WTSH_020_28079_003_091113,,,,,,,,,,,,,,,,,,
,,61,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,18,,497,9/10/2013 21:00,2,300,Condensation inside shrink wrap,R,LDC,,,,9/16/2013,21:37,21:42,-10,9/17/2013 7:37,954-28072,R,,3,,,Burrow,Y,Y,N,HOO_WTSH_018_28079_497_091613,,,,,,,,,,,,,,,,,,
,,64,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,36,,124,9/10/2013 21:00,2,300,Tag Lost,R,LDC,,,,9/16/2013,19:44,19:59,-10,9/17/2013 5:44,954-28064,R,,2,,,Burrow,Y,Y,N,,,,,,,,,,,,,,,,,,,
,,65,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,22,,4,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,20:41,20:45,-10,9/12/2013 6:41,1125-02104,L,,1,,,Burrow,Y,Y,N,HOO_WTSH_022_02104_004_091113,,,,,,,,,,,,,,,,,,
,,66,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,8,,5,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,20:08,20:14,-10,9/12/2013 6:08,1125-02103,L,,1,,didnt get much blood on card,Burrow,Y,Y,N,HOO_WTSH_008_02103_005_091113,,,,,,,,,,,,,,,,,,
,,67,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,31,,6,9/10/2013 21:00,2,300,,R,SDC,,,,9/11/2013,20:49,20:55,-10,9/12/2013 6:49,1125-02105,L,,1,,,Found in different burrow,Y,Y,N,HOO_WTSH_031_02105_006_091113,,,,,,,,,,,,,,,,,,
,,68,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,17,,92,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,20:33,20:37,-10,9/12/2013 6:33,1125-02102,L,,1,,,Burrow,Y,Y,N,HOO_WTSH_017_02102_092_091113,,,,,,,,,,,,,,,,,,
,,70,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,2,,765,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/19/2013,20:16,,-10,8/20/2013 6:16,1055-16620,L,10,1,,,,Y,Y,N,KAE_WTSH_002_16620_765_081913,,,,,,,,,,,,,,,,,,
,,71,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,3,,114,8/15/2013 20:00,1,180,broke after retrieval on 09.06.2013,R,B/SDC,,,,8/18/2013,21:16,,-10,8/19/2013 7:16,1055-16621,L,10,1,,,,Y,Y,N,KAE_WTSH_003_16621_114_081813,,,,,,,,,,,,,,,,,,
,,73,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,5,,4,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/18/2013,20:46,,-10,8/19/2013 6:46,1055-16623,L,10,1,,,,Y,Y,N,KAE_WTSH_005_16623_004_081813,,,,,,,,,,,,,,,,,,
,,75,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,7,,671,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/19/2013,22:37,,-10,8/20/2013 8:37,1055-16625,L,10,1,,Saw on 08.18.2013 with tag,,Y,Y,N,KAE_WTSH_007_16625_671_081913,,,,,,,,,,,,,,,,,,
,,77,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,9,,333,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/18/2013,20:26,,-10,8/19/2013 6:26,1055-16627,L,10,1,,,,Y,Y,N,KAE_WTSH_009_16627_333_081813,,,,,,,,,,,,,,,,,,
,,78,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,10,,335,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/27/2013,21:00,,-10,8/28/2013 7:00,1055-16628,L,10,2,,Tag lost was not on bird,,,,N,,,,,,,,,,,,,,,,,,,
,,81,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,13,,129,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/18/2013,19:58,,-10,8/19/2013 5:58,1055-16631,L,10,1,,,,Y,Y,N,KAE_WTSH_013_16631_129_081813,,,,,,,,,,,,,,,,,,
,,82,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,14,,605,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/18/2013,21:33,,-10,8/19/2013 7:33,1055-16632,L,10,1,,,,Y,Y,N,KAE_WTSH_014_16632_605_081813,,,,,,,,,,,,,,,,,,
,,83,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,15,,573,8/15/2013 20:00,1,180,needed interl clock reset,R,B/SDC,,,,8/18/2013,21:30,,-10,8/19/2013 7:30,1055-16633,L,10,2,,Tag lost was not on bird,,N,N,N,,,,,,,,,,,,,,,,,,,
,,86,Oahu,Kaena,Kaena,KAE,WTSH,2013,EC,18,,37,8/15/2013 20:00,1,180,,R,B/SDC,,,,8/18/2013,21:43,,-10,8/19/2013 7:43,794-56674,R,10,1,,Already banded chick at SLP Oahu in 1997,,Y,Y,N,KAE_WTSH_018_56674_037_081813,,,,,,,,,,,,,,,,,,
,,89,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,1,,671,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,21:52,,-10,9/10/2013 7:52,1055-16638,L,11,1,,,Surface,Y,Y,N,KAE_WTSH_001_16638_671_090813,,,,,,,,,,,,,,,,,,
,,90,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,2,,514,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,21:06,,-10,9/10/2013 7:06,1055-16639,L,10,1,,Downloaded in HI time,Surface,Y,Y,N,KAE_WTSH_002_16639_514_090813,,,,,,,,,,,,,,,,,,
,,91,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,3,,421,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,20:01,,-10,9/10/2013 6:01,1055-05756,L,11,1,,,Surface,Y,Y,N,KAE_WTSH_003_05756_421_090813,,,,,,,,,,,,,,,,,,
,,92,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,4,,809,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,19:50,,-10,9/10/2013 5:50,1055-05757,L,11,1,,,Surface,Y,Y,N,KAE_WTSH_004_05757_809_090813,,,,,,,,,,,,,,,,,,
,,93,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,5,,638,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,20:28,,-10,9/10/2013 6:28,1055-05758,L,11,1,,,Surface,Y,N,N,KAE_WTSH_005_05758_638_090813,,,,,,,,,,,,,,,,,,
,,94,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,6,,765,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,20:05,,-10,9/10/2013 6:05,1055-05759,L,11,1,,,Surface,Y,Y,N,KAE_WTSH_006_05759_765_090813,,,,,,,,,,,,,,,,,,
,,95,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,7,,881,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,21:21,,-10,9/10/2013 7:21,1055-05760,L,10,1,,Downloaded in HI time,Surface,Y,Y,N,KAE_WTSH_007_05760_881_090813,,,,,,,,,,,,,,,,,,
,,96,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,8,,301,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/10/2013,21:52,,-10,9/11/2013 7:52,1055-05761,L,11,1,,,Burrow,Y,N,N,KAE_WTSH_008_05761_301_090813,,,,,,,,,,,,,,,,,,
,,97,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,9,,200,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,22:00,,-10,9/10/2013 8:00,1055-05762,L,10,1,,Downloaded in HI time,Surface,Y,Y,N,KAE_WTSH_009_05762_200_090813,,,,,,,,,,,,,,,,,,
,,98,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,10,,323,9/8/2013 20:00,2,180,,R,B/LDC,,,,9/9/2013,20:49,,-10,9/10/2013 6:49,1055-05763,L,10,1,,Downloaded in HI time,Surface,Y,Y,N,KAE_WTSH_010_05763_323_090813,,,,,,,,,,,,,,,,,,
,,99,Oahu,Kaena,Kaena,KAE,WTSH,2013,MC,11,,114,9/8/2013 20:00,2,180,different from 114,R,B/LDC,,,,9/10/2013,20:02,,-10,9/11/2013 6:02,1055-05764,L,11,1,,Diet 2 fish on retrieval,Surface,Y,Y,N,KAE_WTSH_011_05764_114_090813,,,,,,,,,,,,,,,,,,
