Trapline,TrapNum,Year,Month,Day,predCaught,birdCaught,otherCaught,NumCaught,Sex,Age,Condition,Disposition,TrapStatus,BaitStatus,BaitPrev,RAINA 2016 Comments,BaitSet,Observer,Recorder,Comments
B,51,2002,7,29,,,,0,,,NA,NA,O,N,CD,Delete,,CE,CE,
B,45,2002,8,13,,,,0,,,NA,NA,O,N,CD,Keep,,ZM,CE,
B,45,2002,8,13,,,,0,,,NA,NA,O,Y,CD,Delete,,ZM,CE,
B,27,2002,11,13,,,,0,,,NA,NA,M,,CD,Keep,,ZM,AT,
B,36,2002,11,13,,,,0,,,NA,NA,M,,CD,Keep,,ZM,AT,
B,47,2002,11,13,,,,0,,,NA,NA,O,N,CD,Keep,,ZM,AT,
B,51,2002,12,9,,,,0,,,NA,NA,O,N,CD,Keep,,IE,AT,
B,51,2002,12,9,,,,0,,,NA,NA,O,Y,CD,Delete,,IE,AT,
B,36,2003,1,21,,,,0,,,NA,NA,O,N,DO,Delete,,BH,AT,
B,36,2003,1,21,,,,0,,,NA,NA,M,,,Keep,,BH,AT,
B,23,2003,3,10,,,,0,,,NA,NA,M,N,CD,Keep,,BH,ZM,
B,23,2003,3,10,,,,0,,,NA,NA,O,N,CD,Delete,,BH,ZM,
B,27,2003,3,10,,,,0,,,NA,NA,M,N,CD,Keep,,BH,ZM,
B,27,2003,3,10,,,,0,,,NA,NA,O,N,CD,Delete,,BH,ZM,
B,32,2003,3,31,,,,0,,,NA,NA,O,N,IK,Delete,,BH,ZM,
B,32,2003,3,31,,,,0,,,NA,NA,O,Y,IK,Keep,,BH,ZM,
B,22,2003,4,28,,,,0,,,NA,NA,O,Y,IK,Delete,,"CS,PM",PM,
B,22,2003,4,28,,,,0,,,NA,NA,M,,,Keep,,"CS,PM",PM,DID NOT SEE
B,39,2003,5,3,,,,0,,,NA,NA,C,N,CD,Delete,,ZM,PM,
B,39,2003,5,3,,,,0,,,NA,NA,NC,,CD,Keep,,ZM,PM,
B,59,2003,5,12,,,,0,,,NA,NA,O,N,DO,Delete,,PM,PM,
B,59,2003,5,12,,,,0,,,NA,NA,M,,,Keep,,PM,PM,
B,36,2003,6,30,,,,0,,,NA,NA,O,N,DO,Delete,,PM,PM,
B,36,2003,6,30,,,,0,,,NA,NA,M,,,Keep,,PM,PM,
B,47,2003,6,30,,,,0,,,NA,NA,M,,,Keep,,PM,PM,
B,18,2003,7,23,,,,0,,,NA,NA,O,N,DO,Delete,,JY,PM,
B,18,2003,7,23,,,,0,,,NA,NA,C,N,DO,Keep,,JY,PM,
B,63,2003,7,23,,,,0,,,NA,NA,O,N,DO,Delete,,JY,PM,
B,63,2003,7,23,RR,,,1,F,Adult,3,NA,C,N,DO,Keep,,JY,PM,
B,47,2003,8,12,,,,0,,,NA,NA,O,N,DO,Delete,,PM,PM,
B,47,2003,8,12,,,,0,,,NA,NA,M,,,Keep,,PM,PM,
B,7,2003,9,3,,,,0,,,NA,NA,O,N,DO,Delete,,RK,PM,
B,7,2003,9,3,,,,0,,,NA,NA,C,N,DO,Keep,,RK,PM,
B,48,2003,9,3,,,,0,,,NA,NA,O,N,DO,Delete,,RK,PM,
B,48,2003,9,3,RR,,,1,,,4,NA,C,N,DO,Keep,,RK,PM,
B,64,2003,9,8,,,,0,,,NA,NA,O,N,CD,Delete,,ZM,PM,
B,64,2003,9,8,HA,,,1,M,Juvenile,2,NA,C,N,CD,Keep,,ZM,PM,"1M/1F; Two HA in trap, one from previous week that was left in trap; possibly the one left in trap was female and gave birth? -RK"
B,48,2003,9,15,,,,0,,,NA,NA,O,N,DO,Delete,,JY,PM,
B,48,2003,9,15,RR,,,1,M,Adult,2,NA,C,N,DO,Keep,,JY,PM,
B,63,2003,9,15,,,,0,,,NA,NA,O,N,DO,Delete,,JY,PM,
B,63,2003,9,15,,,,0,,,NA,NA,O,Y,DO,Keep,,JY,PM,
B,29,2003,10,20,,,,0,,,NA,NA,O,N,DO,Delete,,LA,LA,
B,29,2003,10,20,,,,0,,,NA,NA,O,Y,DO,Keep,,LA,LA,water in  bait can
B,53,2003,10,20,,,,0,,,NA,NA,O,N,DO,Delete,,LA,LA,
B,53,2003,10,20,RR,,,1,UNK,Adult,3,NA,C,N,DO,Keep,,LA,LA,
B,14,2004,1,6,,,,0,,,NA,NA,C,N,DO,Keep,,ZM,KD,
B,14,2004,1,6,,,,0,,,NA,NA,O,N,DO,Delete,,ZM,RK,
B,52,2004,1,6,,,,0,,,NA,NA,C,N,DO,Keep,,ZM,KD,
B,52,2004,1,6,,,,0,,,NA,NA,O,N,DO,Delete,,ZM,RK,
